,Tweets,Happiness,Anger,Fear,Sadness,Disgust,Sentiment
151,nangis thanks kak tweet kakak reflecting diriku insecure ada kelebihan kelebihanku sederhana sehat walafiat kondisi pandemi mental suka terguncang,1.96,0.555,0.595,0.575,0.545,Happiness
152,pandemi dirumah pergi sekolah really good for mental kesehatan enaknya mah ada,0.2,0.2,0.2,0.2,0.2,Neutral
153,berpotensi mengalami mental pandemi covid menjaga kesehatan mental pandemi simak radio talk lawancovid bnpb indonesia ingatpesanibu sudahdivaksintetap vaksinmelindungikitasemua ldz cdc,0.2,0.2,0.2,0.2,0.2,Neutral
154,simak tips sederhana menjaga kesehatan mental pandemi merahputihcom tips selfcare selflove rnshennkn,0.98,0.2775,0.2975,0.2875,0.2725,Happiness
155,yuk bantu penuhi nutrisigardaterdepan tim medis berjuang garda terdepan menangani covid mengalami kelelahan fisik mental tingginya beban kerja akibat covid berdampak menurunnya imunitas,0.525,1.75,1.735,1.955,1.0,Sadness
156,ahh besok mulung streaming nya tiring day ngantuk lelah fisik mental wkwkwkw trying jik,0.2625,0.875,0.8675,0.9775,0.5,Sadness
157,pribadi sederhana pribadi memiliki mental kaya mental kaya memiliki jkz cor,0.49,0.13875,0.14875,0.14375,0.13625,Happiness
158,lelah mental nangis yak kepala yaudah wed,0.13125,0.4375,0.43375,0.48875,0.25,Sadness
159,kesehatan sejahtera fisik mental sosial utuh bebas penyakit wvshoy,0.2,0.2,0.2,0.2,0.2,Neutral
160,kiky saputri semprot anak kuliahan singgung mental kesehatan lelah allah kikysaputri,0.065625,0.21875,0.216875,0.244375,0.125,Sadness
161,permasaum bersukan bah exco sukan rekreasi permasa perkongsian info kesihatan mental maksud kes,0.2,0.2,0.2,0.2,0.2,Neutral
162,minggu pjj ptm berasa habis maraton anjir lelah fisik mental,0.032813,0.109375,0.108438,0.122188,0.0625,Sadness
163,wolfhorschele kuat mental nonton offline lelah,0.016406,0.054688,0.054219,0.061094,0.03125,Sadness
164,afmhmdd butuh hiburan bestie search temu mental aman,2.055,0.62,0.735,0.665,0.54,Happiness
165,agssaputro idextratime akbargundol mental aman kakak,1.0275,0.31,0.3675,0.3325,0.27,Happiness
166,akuwibowooaja kerjaan aman mental kesehatan kaga sek era mental kesehatan trust issue,0.51375,0.155,0.18375,0.16625,0.135,Happiness
167,aldihaydarm hahahahhahahh ngomongnya semoga kesehatan mental terjaga xad,2.055,0.62,0.735,0.665,0.54,Happiness
168,alvyaprilia lelah mental amp fisiknya pih xbb xef,0.008203,0.027344,0.027109,0.030547,0.015625,Sadness
169,anataisme semoga cepat selesai capai istirahat paksa mental kega msclb bncc,0.2,0.2,0.2,0.2,0.2,Neutral
170,andrianhamdani taktik teknik mental,0.2,0.2,0.2,0.2,0.2,Neutral
171,anggafi idextratime disenggol nangis mental aman kakak,0.256875,0.0775,0.091875,0.083125,0.0675,Happiness
172,aremafcofficial mental aman genk hahah,0.128438,0.03875,0.045937,0.041563,0.03375,Happiness
173,armyfess trimksh semoga mental aman xaa xbb,0.064219,0.019375,0.022969,0.020781,0.016875,Happiness
174,artistsbase kesiapan mental sih ngadepin orang sabar sih konsisten tanggung kelebihan disiplin,2.16,0.56,0.55,0.57,0.52,Happiness
175,astracinez oke kak maaf berani takut mental breakdown xbc xbc,0.001781,0.003766,0.006391,0.004719,0.002859,Fear
176,asttanggi reni txtdrberseragam baca nya takut nya kuat mental ngebalesin nya,0.000891,0.001883,0.003195,0.002359,0.00143,Fear
177,avogattoo menikah mudah mental fisik,1.96,0.555,0.595,0.575,0.545,Happiness
178,aynprln retweett suka nih mental mental gini wkwk twiternya aman aman gini suka membicarakan,0.0411,0.0124,0.0147,0.0133,0.0108,Happiness
179,badmintoneropa palinganakudipehape sabar min drtadi kena mental,1.08,0.28,0.275,0.285,0.26,Happiness
180,baeyijin semoga obatnya rajin diminum sehari takutnya penyakit mental yukkk sehat yuuukkk,0.000445,0.000941,0.001598,0.00118,0.000715,Fear
181,barcastuff idn mental ucl beda menang terliat mudah sempet kewalahan,0.98,0.2775,0.2975,0.2875,0.2725,Happiness
182,beyourlight gimana sih rasanyaa sumpah takut mental lemah kejadian,0.000223,0.000471,0.000799,0.00059,0.000357,Fear
183,boboiboy siapin mental boy takut baperrr cry,0.000111,0.000235,0.000399,0.000295,0.000179,Fear
184,box boxbola manager board manager cari mental juara board sabar membangun tim ovdkc,0.54,0.14,0.1375,0.1425,0.13,Happiness
185,box boxbola mental dibeli boss pemain gajinya kegedean nyaman cenderung kya tentara bayar nhj dyjwrn,2.055,0.62,0.735,0.665,0.54,Happiness
186,buttcrumbw takut kena mental,5.6e-05,0.000118,0.0002,0.000147,8.9e-05,Fear
187,chachashafira iya afsthk sabar mental xad xad,0.27,0.07,0.06875,0.07125,0.065,Happiness
188,convomf tulis lisan kasihan jantung mental aman,0.010307,0.003207,0.003781,0.003444,0.002761,Happiness
189,convomfs bebas terserah bayarannya mental awokaowkaowk nilai gede xbb,0.2,0.2,0.2,0.2,0.2,Neutral
190,dennysiregar lapor melapor mah bebas tinggal laporanx kuat cum adagelan mental,0.2,0.2,0.2,0.2,0.2,Neutral
191,doni salmanan padon mental aman pgizzrt,0.010275,0.0031,0.003675,0.003325,0.0027,Happiness
192,eboondcah aman mental,0.005138,0.00155,0.001837,0.001663,0.00135,Happiness
193,ehahoyy twt aman mental anjir bikin meninggoy,0.002569,0.000775,0.000919,0.000831,0.000675,Happiness
194,epaww lalisalovmi tanyakanrl mental aman sender xad,0.001284,0.000388,0.000459,0.000416,0.000338,Happiness
195,errrdokys txtdrmahasiswa takut kena mental xad anak jaman mah main,2.8e-05,5.9e-05,0.0001,7.4e-05,4.5e-05,Fear
196,resign tahan cari kerja susah pandemi gini kesehatan mental gaji,0.003271,0.002715,0.002725,0.003174,0.003516,Disgust
197,lepas habis you anak sambung phd pulak hati study susah hilang enjoy kwn koyak covid jumpa kwn mental kesehatan stable covid,0.001636,0.001357,0.001362,0.001587,0.001758,Disgust
198,aik arif gandhawangi kompasdata deonisiaarlinta pandemi mereda mengalami gangguan kesehatan mental perkara sederhana ahli bidang meringankan beban adadikompas pedulisehatjiwa worldmentalhealthday abdullah fikri atipqfeisb,1.1025,0.312188,0.334687,0.323437,0.306563,Happiness
199,bisakahharusbis emm kayaknya kerjaan kelebihan kekurangannya nya dehhh jalanin mata butuh ambil saja  kerjaan susah iya ngerti kesehatan mental uang bikin stres,0.000818,0.000679,0.000681,0.000793,0.000879,Disgust
200,sylvidheaa samaaaa kasar sih jatohnya dikatain mental ngemis bneer butuh bantuan pandemi gini komen sih you cant say something nice just shut apadaya males,0.64,1.15,0.97,0.97,1.85,Disgust
201,bertempat blok hunian lapas perempuan kelas iia jakarta membagikan air jahe hangat warga binaan pemasyarakatan kegiatan bentuk ikhtiar lapas menjaga kesehatan fisik mental warganya pandemi covid,0.197578,0.26625,0.190391,0.243125,0.308828,Disgust
202,covid bebetul kacau mental kesehatan susah anak tido risau esok what tetiba sesak nafas tido,0.000409,0.000339,0.000341,0.000397,0.000439,Disgust
203,gampang gakbisa berdamai membawa mental disorder kesehatan tameng duit psikiater control jiwa party pandemi,1.96,0.555,0.595,0.575,0.545,Happiness
204,rantai kesehatan mental indonesia putus alih alih sang adik pendamping mental dihancurkan mentalny laki laki adab orang perempuan akal,0.18625,0.25125,0.175,0.22875,0.29875,Disgust
205,niii namanya mental kesehatan issue permukaan story perempuan indo stres pandemi bolbal ind obatnya lahan sulawesi anak amp lakinya stres remuk,0.093125,0.125625,0.0875,0.114375,0.149375,Disgust
206,pandemi covid hanya berdampak kesehatan fisik orang mengalami gangguan kesehatan mental loh sahabat tidar deaaderiaa merawatnya ngelakuin meditasi ringan meditasi ringan dengerin apelpagi request lagu yuk gaqpwt,1.2544,0.3552,0.3808,0.368,0.3488,Happiness
207,selamat umayy sabar film kukirakaurumah film bipolarcare indonesia semoga film aware kesehatan mental,1.095,0.3275,0.384688,0.350313,0.28625,Happiness
208,semenjak pandemi bilang teman teman nge kost kuliah kuat jujur hanya smt merasakan kuliah rumah nangis fokus kuliah kek gangguan nya kena mental haha,0.7925,0.3425,0.415,0.3725,0.3175,Happiness
209,teknologi sains maju orang orangnya katro percaya corona menganggap enteng pandemi percaya konspirasi kirain merdeka euy ada mental mental katro gini pantes diadu domba belanda,1.96,0.555,0.595,0.575,0.545,Happiness
210,kachigoshipo dosenku muda gara gara tekanan sabar bestie tekanan mental,0.0675,0.0175,0.017188,0.017812,0.01625,Happiness
211,nderr bat njink mental bangga renee don mind kadang sender cophtsd,1.59,0.775,0.79,0.645,0.63,Happiness
212,tirta cipeng omicron kayake ringan dok recoveryne loalah suwe kenek mental gamp vmz bwmjie,0.6272,0.1776,0.1904,0.184,0.1744,Happiness
213,gila rumah tujuannya main pandemi diitung jari bangga even mental gasehat jjmuhv,0.795,0.3875,0.395,0.3225,0.315,Happiness
214,mama tahan sakit hati gabole jahat orang walopun dijahatin anakmu kena mental,0.64,1.15,0.97,0.97,1.85,Disgust
215,mantepppp mental baja xaa xbc polisi terekam ditembak anak perempuan setangkai bunga eplpjx,0.046562,0.062812,0.04375,0.057188,0.074688,Disgust
216,perkuat mental perbesar sabar all will pass,0.03375,0.00875,0.008594,0.008906,0.008125,Happiness
217,beda urus anak mah mental kayaknya sabar masanya diliat paksu auhkaizwps,0.016875,0.004375,0.004297,0.004453,0.004063,Happiness
218,nthaaannnn coachjustinl mental blunder donarumma jujur anceloti taktiknya old school,0.39625,0.17125,0.2075,0.18625,0.15875,Happiness
219,sridiana erickthohir nicho silalahi ampun memalukan komisaris mental premannya lengket ilang,0.64,1.15,0.97,0.97,1.85,Disgust
220,sridiana mental cabul kaya,0.64,1.15,0.97,0.97,1.85,Disgust
221,pradanaa uih jokowi mental penggerutu hahaha dptin koneksi gampang tinggal cari komunitas tibjs,0.98,0.2775,0.2975,0.2875,0.2725,Happiness
222,adzimahyuzri martinirahman true mental kena jaga sabar struggle grhkndj,0.008438,0.002188,0.002148,0.002227,0.002031,Happiness
223,afifxavi klub mental susah,0.000204,0.00017,0.00017,0.000198,0.00022,Disgust
224,afrkml susah xad kena mental pedean hknhc rej,0.000102,8.5e-05,8.5e-05,9.9e-05,0.00011,Disgust
225,afwarm stok sabar stok mental healthy stok anti keluh stok uang wkkw,0.004219,0.001094,0.001074,0.001113,0.001016,Happiness
226,aldeposesif anakmu kena fitnah maaa sabar hidup orang gangguan mental,0.002109,0.000547,0.000537,0.000557,0.000508,Happiness
227,alkatirichniago susah kalah mental mah wkwk,5.1e-05,4.2e-05,4.3e-05,5e-05,5.5e-05,Disgust
228,andihiyat ada sekolah menyenangkan sakit mental ada,1.965,0.61,0.585,0.595,0.56,Happiness
229,cemas mengelolanya imunitas tubuh turun terpapar covid berkonsultasi profesional kesehatan mental mengalami kecemasan,0.1425,0.30125,0.51125,0.3775,0.22875,Fear
230,marak digaungkan kesehatan mental perhatian nih seleb indonesia pelopor biar aware takut kesehatan mental qrb rfo,1.4e-05,2.9e-05,5e-05,3.7e-05,2.2e-05,Fear
231,lagu dis ease mengangkat tema isu mental cemas ketidaknyamanan hope terinspirasi passion nya berkarya pandemi menyusun menulis lagu suga jimin makna lirik lagu bts,0.07125,0.150625,0.255625,0.18875,0.114375,Fear
232,prokernya ada jalan pandemi gini they rarely talk about mental kesehatan ngerti orang trigger mbahas,0.2,0.2,0.2,0.2,0.2,Neutral
233,ekonomi berita hoaks cyberbullying penyebab utama penurunan kesehatan mental pandemi april konten hoaks covid berasal media sosial cyberbullying medsos,0.2,0.2,0.2,0.2,0.2,Neutral
234,mengawari harinya lho cemas situasi kondisi pandemi covid ekstrim menyadarkan kesehatan fisik nyawa mental ztjqjze,0.035625,0.075313,0.127812,0.094375,0.057188,Fear
235,harinya lho cemas situasi kondisi pandemi covid ekstrim menyadarkan kesehatan fisik nyawa mental ternilai harganya what the biggest vymzmh qit,0.017812,0.037656,0.063906,0.047188,0.028594,Fear
236,hanya efek fisik covid memengaruhi mental stres dsn cemas pandemi turunkan gairah seks kvidn imsr,0.01425,0.030125,0.051125,0.03775,0.022875,Fear
237,hanya efek fisik covid memengaruhi mental stres dsn cemas pandemi turunkan gairah seks lzt xfgni,0.0114,0.0241,0.0409,0.0302,0.0183,Fear
238,shamsiali malik abdul mental rendah takut ketinggian islam ustadz,7e-06,1.5e-05,2.5e-05,1.8e-05,1.1e-05,Fear
239,miris manusia bumi takut cemas kelemahan mental dijadikan bahan tertawaan orang bahagia,0.040234,0.156519,0.140154,0.158786,0.148052,Sadness
240,ardynshufi maringa kena mental bruno disikat sukuna pemain arema nganggep enteng bruno bebas wae,0.98,0.2775,0.2975,0.2875,0.2725,Happiness
241,askrlfess kaya hasil observasi disimpulin sih lelah fisik mental,0.004102,0.013672,0.013555,0.015273,0.007812,Sadness
242,bandung vereeniging mental pemain teu bohong geus pesimis team lelah cetak gol,0.291025,0.830918,0.545889,0.536318,0.436953,Anger
243,binisingto dirumah enak makan aman aman mental aman xbb kos mental aman lambung aman xbb,4e-05,1.2e-05,1.4e-05,1.3e-05,1.1e-05,Happiness
244,bts twt maaf dihari ulang kesini capai lelah mental fisik menghilang iczmd,0.001025,0.003418,0.003389,0.003818,0.001953,Sadness
245,cenoramoons kak dipaksain lagipula nyiapin mental takut kam ecxcruu,2e-06,4e-06,6e-06,5e-06,3e-06,Fear
246,cheollyeochin mbb seru agak  gruesome bikin lelah mental,0.000513,0.001709,0.001694,0.001909,0.000977,Sadness
247,ciwgaerette ealahhh jebul podo gemana mental aman,2e-05,6e-06,7e-06,6e-06,5e-06,Happiness
248,coachjustinl taktik boss mental pemain drop abis blundernya,0.2,0.2,0.2,0.2,0.2,Neutral
249,collegemenfess biaya mental teman lingkungan all idk takut tampil depannya,1e-06,2e-06,3e-06,2e-06,1e-06,Fear
250,cvruck minor ccoknya main genshin biar mental aman,1e-05,3e-06,4e-06,3e-06,3e-06,Happiness
251,darkzuii cjangan lupa sarapan selamat beraktifitas lupa jugaa siapin hati jantung mental konser soree,1.0275,0.31,0.3675,0.3325,0.27,Happiness
252,daydreamvreakie takut persiapin mental janga beban batin ter fbn iac,0.0,1e-06,2e-06,1e-06,1e-06,Fear
253,dew snu speedtrap takut kena mental,0.0,0.0,1e-06,1e-06,0.0,Sadness
254,didibulet lek lelah mental,0.000256,0.000854,0.000847,0.000955,0.000488,Sadness
255,dinjk cjangan lupa sarapan selamat beraktifitas lupa jugaa siapin hati jantung mental konser soree loff,0.51375,0.155,0.18375,0.16625,0.135,Happiness
256,dokterparu wkwkwkwk komen hanya takut sendernya kena mental kesehatan,0.0,0.0,1e-06,0.0,0.0,Fear
257,dxascya cjangan lupa sarapan selamat beraktifitas lupa jugaa siapin hati jantung mental konser soree,0.256875,0.0775,0.091875,0.083125,0.0675,Happiness
258,edzardhika wkwkwkw kuat mental down takut labrak,0.0,0.0,0.0,0.0,0.0,
259,gaboleekepoya takut mental kesana kemari din,0.0,0.0,0.0,0.0,0.0,
260,areajulid aroganisme mikir sakit duit rest mevvah isoman perawat pribadi maybe berjuang sabar hadapin pandemi keren mental tenaga dsbg keren,0.001055,0.000273,0.000269,0.000278,0.000254,Happiness
261,chuentoi itsmeangling mdzulnurfaizal calvindws oak math lee bebasvisaid ivanrt addamfarizi yovie myg mikeyam menlu kumparan mental membully mencari solusi indonesia ada fikir edukasi lini mental mencari cuan,0.2,0.2,0.2,0.2,0.2,Neutral
262,cindynsrn dipaksa gimana sefrekuensi mending stop cari ketimbang maksa bertengkar merusak mental kesehatan,0.665,1.75,1.365,1.53,1.21,Anger
263,frin sane jujur semenjak pandemi cuaca panas seeing keringetan mandi normal mental brikdens,0.198125,0.085625,0.10375,0.093125,0.079375,Happiness
264,hnurwahid sampeyan rakyat indonesia warga jakarta hidupnya tenang sampeyan senang jakarta rusuh ato kisruh pejabat mental teroris senang rakyat tenang,0.7675,0.47,0.3095,0.3125,0.305,Happiness
265,taniarzty hawahawa thkyu ingatkan dimasa hehe jujur pandemi rechan kena mental kesehatan hehe kebalikannya rmhin gini kena mental kesehatan healing kesal duit tugas,0.099062,0.042813,0.051875,0.046562,0.039688,Happiness
266,tukang binguung pandemi berhasil merasakan kedewasaan dibutuhkan duit duit duit duit duit duit duit kesehatan mental berhenti menyenangkan orang senang,0.122813,0.038125,0.036562,0.037187,0.035,Happiness
267,txtdrpemerintah bcanda muluk heran nakes berjuang covid kesehatan kadang terabaikan gugur pulang kerumah standby jaga jarak menanggung beban mental ada cont,0.4625,0.35,0.315,0.3275,0.3675,Happiness
268,vantaektha collegemenfess selamat pagi tim emospot mengharapkan kesediaan saudara mengisi kuesioner strategi pemulihan kesehatan mental pandemi covid zrbyznp terima kasih melahirkan,0.128438,0.03875,0.045937,0.041563,0.03375,Happiness
269,parenting webinar open for public pandemi covid banyaknya kegiatan lakukan rumah kurun pastikan munculnya stres gelisah kecemasan depresi kondisi mental marak pandemi rxnn zevg,0.194726,0.408675,0.690205,0.510642,0.309884,Fear
270,pengaruh buruk kesepian pandemi covid fisik mental audience aditya pandemi covid ujungnya terkecuali indonesia masyarakat rumah menghindari penularan virus corona ugp xkdl,1.24,0.5675,0.5175,0.5275,0.7225,Happiness
271,thread mental kesehatan pandemi kepanikan kecemasan ketakutan penduduk dunia belahan dunia terjangkit virus dikenal coronavirus covid,0.000713,0.001506,0.002556,0.001888,0.001144,Fear
272,diam baca part orang indonesia potensi gangguan jiwa gangguan kesehatan mental nyaman please cari professional helper self claimed cont dzfb,1.0275,0.31,0.3675,0.3325,0.27,Happiness
273,anak anak remaja muda luput krisis kesehatan mental dipicu pandemi covid studi penelitian menemukan tingkat depresi kecemasan kalangan remaja pgfhvbo,0.000713,0.001506,0.002556,0.001888,0.001144,Fear
274,badminton menyelamatkan mental kesehatan amp mosidik pandemi main badminton berbulan,0.064219,0.019375,0.022969,0.020781,0.016875,Happiness
275,cemas gelisah stres depresi kondisi mental kerap dirasakan pandemi memiliki kondisi mental sehat menjaga kesehatan fisik dikonsultasikan ada myvyccoidt,0.142678,0.301627,0.511889,0.377972,0.229036,Fear
276,pandemi covid kesehatan mental dijaga lho wargi salah satunya mendorong hormon bahagia jabarprovgoid humasjabar ayokeperpustakaan ayosadararsip dispusipdajabar jabarjuara jabarkita ridwankamil jabarjuara kebahagiaan senyawabahagia fdlqadojvo,0.02875,0.114375,0.1,0.115312,0.10875,Sadness
277,nyokap bilang meh muda kerja keras smp lupa kesehatan bahagia nikmatin muda kaya main jalan  lakukan nikah lega puas nikmatin orang kaya tabungan gabanyak mental sehat,0.539089,0.283177,0.285755,0.238776,0.231771,Happiness
278,pepatah mensana corporesano tubuh sehat jiwa kuat pemerintah republik indonesia abai kesehatan mental masyarakat undang undangnya jalan,0.23125,0.175,0.1575,0.16375,0.18375,Happiness
279,gelisah lumrah pandemi covid merasakannya biarkan gelisah berlarut larut kesehatan mental terjaga yuk ikuti tips unicef mengatasi gelisah kerap muncul pandemi rcocyghqhn,0.283594,0.133984,0.187734,0.153906,0.110391,Happiness
280,hai kabarmu cemas khawatir kesepian amp stres wajar dialami pandemi tahukah kesehatan mental amp kesehatan fisik amp berkaitan tqvxzaes,0.407559,0.193876,0.262296,0.220991,0.163012,Happiness
281,halo its indonesia rilis mental kesehatan movie series etiolasi episode youtube bem its kisah inspiratif orang mahasiswa bangkit melawan kesehatan mental tahan tumpuk selamat menyaksikan eksodusunjukasa vvsry,0.032109,0.009687,0.011484,0.010391,0.008438,Happiness
282,healthies selamat islam muharram perkokoh suasana pandemi covid meningkatkan iman imun menjaga kesehatan mental tubuh beraktivitas muharram cegahcovid germas nrepk,0.016055,0.004844,0.005742,0.005195,0.004219,Happiness
283,updaters pandemi covid peduli kesehatan kesehatan fisik kesehatan mental minku membagikan kutips lakukan kesehatan mentalmu terjaga kutips jmpgrqjgjj,0.51375,0.155,0.18375,0.16625,0.135,Happiness
284,jujur berharap turnamen indonesia open minions capai fisik mental tolong ditambah fokusnya menang bwc intinya semoga minions kesehatan dijauhi cidera bwc fire,0.049531,0.021406,0.025937,0.023281,0.019844,Happiness
285,kerapatan indonesia tanah air selamat anak sedunia pandemi ketidaksetaraan mempengaruhi hak anak krisis pendidikan kesehatan mental rasisme diskriminasi better future for every child maman imanulhaq harianaksedunia indonesia ltmyoav,0.008027,0.002422,0.002871,0.002598,0.002109,Happiness
286,kes meningkat for sure kena sedar covid mudah hilang takkan anak hidup paranoid terkurung fizikal amp mental manusia kot namanya norma baharu hidup covid huhu,0.49,0.13875,0.14875,0.14375,0.13625,Happiness
287,kesehatan mental pandemi diantar rentan stres mbak amma chemist selasa berbagi tips menjaga kesehatan mental hidup bahagia yuk dikepoin bvqk,0.007187,0.028594,0.025,0.028828,0.027187,Sadness
288,ketidakpastian kesepian pandemi sadar bikin stres kesehatan mental terganggu yuk simak pencegahannya wearestrong wearecapable wearesolid wearetough protecal umzbamxzkp,0.54,0.14,0.1375,0.1425,0.13,Happiness
289,orang  mudah kirim chat maki mikir kesehatan mental orang dimaki,0.245,0.069375,0.074375,0.071875,0.068125,Happiness
290,lapas pamekasan ikuti apel virtual revolusi mental inspektur jenderal tekankan keajaiban berbagi surabaya situasi pandemi menentu berpengaruh negatif aspek psikologis masyarakat asn eipdmm,2.035,0.595,0.625,0.655,0.61,Happiness
291,nice step sih mundur pandemi gini bikin persiapan boros kepotong karantina mesti berangkat cepat latihan evaluasi olim tampil amp kalah merusak mental yep let them heal,0.3325,0.875,0.6825,0.765,0.605,Anger
292,pandemi covid hanya berdampak kesehatan fisik berdampak kesehatan mental kondisi menyerang psikis lantaran banyaknya berita buruk minim interaksi sosial selengkapnya oalzz jsdc vivacoid satgascovid qrir ubwqv,0.256,0.46,0.388,0.388,0.74,Disgust
